blockNumber,blockTimestamp,instrName,instrId,optimalAmount,grossProfit,netProfit,gasCost,gasAmount,startTimestamp,endTimestamp
11533691,1609043772,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01652,0.01664,260000,1609043777.34964,1609043777.71721
11533692,1609043777,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01043,0.01055,260000,1609043803.59852,1609043803.96859
11533693,1609043803,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01678,0.0169,260000,1609043806.03338,1609043806.40149
11533694,1609043806,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01678,0.0169,260000,1609043823.95705,1609043824.31017
11533695,1609043823,weth2sushi2weth_uniswap2Sushiswap,I0007,0.8643,0.00121,-0.01361,0.01482,260000,1609043826.34744,1609043826.76187
11533695,1609043823,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0147,0.01482,260000,1609043826.34744,1609043826.76189
11533696,1609043826,weth2sushi2weth_uniswap2Sushiswap,I0007,0.8643,0.00121,-0.01361,0.01482,260000,1609043830.76812,1609043831.60209
11533696,1609043826,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0147,0.01482,260000,1609043830.76812,1609043831.60212
11533697,1609043830,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0121,0.01222,260000,1609043833.26575,1609043834.71819
11533698,1609043832,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0121,0.01222,260000,1609043888.14327,1609043889.99637
11533699,1609043888,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0186,0.01872,260000,1609043893.42208,1609043894.20723
11533700,1609043893,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0186,0.01872,260000,1609043899.17086,1609043899.65016
11533701,1609043896,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01236,0.01248,260000,1609043905.08478,1609043905.4232
11533702,1609043904,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01236,0.01248,260000,1609043935.14902,1609043935.6839
11533703,1609043934,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01652,0.01664,260000,1609043950.05831,1609043950.41949
11533704,1609043949,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01314,0.01326,260000,1609043970.52314,1609043970.84879
11533705,1609043970,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.016,0.01612,260000,1609044000.90689,1609044001.35322
11533706,1609044000,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0108,0.01092,260000,1609044005.05253,1609044005.35019
11533707,1609044006,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0108,0.01092,260000,1609044010.89159,1609044011.28843
11533708,1609044010,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.0108,0.01092,260000,1609044031.70857,1609044032.10742
11533709,1609044031,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.009762,0.00988,260000,1609044038.30121,1609044038.73598
11533710,1609044038,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.009762,0.00988,260000,1609044050.45093,1609044050.82453
11533711,1609044049,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01626,0.01638,260000,1609044095.45719,1609044095.82567
11533712,1609044095,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01756,0.01768,260000,1609044098.34451,1609044098.72523
11533713,1609044098,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01756,0.01768,260000,1609044105.41577,1609044105.76489
11533714,1609044103,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01356,0.01368,260000,1609044114.57349,1609044114.88969
11533715,1609044114,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01054,0.01066,260000,1609044127.56823,1609044127.90527
11533716,1609044127,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.016,0.01612,260000,1609044132.32084,1609044133.028
11533717,1609044131,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.008722,0.00884,260000,1609044136.47156,1609044137.00871
11533718,1609044136,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01444,0.01456,260000,1609044153.39758,1609044153.74101
11533719,1609044152,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01444,0.01456,260000,1609044153.66746,1609044153.95793
11533720,1609044153,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01444,0.01456,260000,1609044155.42312,1609044155.79204
11533721,1609044155,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01782,0.01794,260000,1609044158.38152,1609044158.80711
11533722,1609044157,weth2inj2weth_uniswap2Sushiswap,I0019,0.1663,0.0001178,-0.01782,0.01794,260000,1609044173.57234,1609044173.92425
11533723,1609044172,weth2inj2weth_uniswap2Sushiswap,I0019,0.394,0.0006625,-0.0139,0.01456,260000,1609044189.18247,1609044189.73497
11533724,1609044188,weth2inj2weth_uniswap2Sushiswap,I0019,0.394,0.0006625,-0.0152,0.01586,260000,1609044200.19372,1609044200.60758
11533725,1609044199,weth2inj2weth_uniswap2Sushiswap,I0019,0.394,0.0006625,-0.01026,0.01092,260000,1609044203.40404,1609044203.73189
11533726,1609044203,weth2inj2weth_uniswap2Sushiswap,I0019,0.394,0.0006625,-0.01026,0.01092,260000,1609044205.55172,1609044205.85817
11533727,1609044205,weth2inj2weth_uniswap2Sushiswap,I0019,0.394,0.0006625,-0.01182,0.01248,260000,1609044236.63028,1609044237.03864
11533728,1609044236,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01588,0.01612,260000,1609044261.12516,1609044261.64481
11533729,1609044260,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01536,0.0156,260000,1609044276.26682,1609044276.60481
11533730,1609044275,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.009122,0.00936,260000,1609044280.40026,1609044280.70462
11533731,1609044276,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.009122,0.00936,260000,1609044281.32345,1609044281.70697
11533732,1609044281,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.009122,0.00936,260000,1609044289.63852,1609044289.96364
11533733,1609044290,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01588,0.01612,260000,1609044291.93233,1609044292.27687
11533734,1609044291,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01588,0.01612,260000,1609044295.56602,1609044295.96134
11533735,1609044295,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01001,0.01024,260000,1609044316.48238,1609044316.83412
11533736,1609044315,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01042,0.01066,260000,1609044318.12475,1609044318.57306
11533737,1609044317,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01042,0.01066,260000,1609044319.41015,1609044319.83936
11533738,1609044318,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01042,0.01066,260000,1609044319.83184,1609044320.30373
11533739,1609044319,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01042,0.01066,260000,1609044327.14122,1609044327.52348
11533740,1609044326,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.008472,0.00871,260000,1609044344.31372,1609044344.72486
11533741,1609044343,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01094,0.01118,260000,1609044379.18618,1609044379.65702
11533742,1609044378,weth2inj2weth_uniswap2Sushiswap,I0019,0.236,0.0002375,-0.01031,0.01055,260000,1609044392.95003,1609044393.51156
11533743,1609044392,weth2inj2weth_uniswap2Sushiswap,I0019,0.2805,0.0003356,-0.01084,0.01118,260000,1609044401.53374,1609044401.88738
11533744,1609044401,weth2inj2weth_uniswap2Sushiswap,I0019,0.2805,0.0003356,-0.009024,0.00936,260000,1609044409.87559,1609044410.25956
11533790,1609045062,weth2inj2weth_uniswap2Sushiswap,I0019,0.6567,0.001844,-0.0159,0.01775,260000,1609045072.38331,1609045072.71412
11533791,1609045071,weth2inj2weth_uniswap2Sushiswap,I0019,0.6567,0.001844,-0.01064,0.01248,260000,1609045080.68659,1609045081.03131
11533792,1609045080,weth2inj2weth_uniswap2Sushiswap,I0019,0.6567,0.001844,-0.008527,0.01037,260000,1609045124.80361,1609045125.36238
11533793,1609045124,weth2inj2weth_uniswap2Sushiswap,I0019,0.6567,0.001844,-0.01402,0.01586,260000,1609045128.37403,1609045128.74743
11533794,1609045128,weth2inj2weth_uniswap2Sushiswap,I0019,0.6567,0.001844,-0.01402,0.01586,260000,1609045143.4662,1609045143.80893
